Item Name,Description,Qty,Unit Price,Orders Required,Link
12 Gauge Wire,Wire for distributing low current power,25 ft,$23.99,1,https://www.amazon.com/Conductors-Stranded-Voltage-Automotive-Lighting/dp/B0DGL723WB/ref=sr_1_2_sspa?crid=1AM91U6JAZKJD&dib=eyJ2IjoiMSJ9.EwtCiAWpkJ2YqPE_dL3r04d3rPtd9IxYHExkKmnaAMceaXOM0ERst-mmybS7Q7mEXC5LO7VHPEwjDWqw6FFmksqYxvcxxb6N8Hu11RlU3rC5ewpu3ljnlM6BvqXb8W_ngEYIUgoGk7zaxddQsGSxmigMqeQc7XyW7jgu9sSF3EX7Hghmd8wCk8ZcxzpGtb_HdzztwpUj8lgMpQAUcpCT01RJie7fCRwf7CmbFuIimDG7HWp0NyW8Qfp6IR665kZ-B2u8xaNrXLeq-b-5TAOBb86lwmaaWeKC2LE-sHd4Quc.G6gfqATqOlDXTqiwCR8cRLnoqbSa22M1pxbpG_3SfDU&dib_tag=se&keywords=awg%2B6%2Bwire&qid=1764349321&sprefix=AWG%2B6%2Caps%2C149&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
BOJACK 10 Values 300 Pcs Ceramic Capacitor,Servo capacitors,300,$9.99,1,https://www.amazon.com/BOJACK-Capacitor-Multilayer-Monolithic-Assortment/dp/B085RDTCCV/ref=sr_1_1_sspa?crid=10W7PVEL2GEMO&dib=eyJ2IjoiMSJ9.7WzmrU6FnNnBXP9FtTFerMIJI70wH-FUQqi01tTrgXGISnl1xuaidSeXBh48yw0EzQMEA6FS1CR-BRUFauwuuaPyA28gPg2UMm3IPyU_QFO8j_HJeZaBdbeW-pLRUs1FRhqs1mxO6YHVNYFp9UwsD_QQFrhpBjaIpVI5Xed_sD4sCvMkWYaWPdVmJewvSzBlDsJxG2LS1Rd3T9i7R2k-feA7H8ltUAGO3WqneCqmw9u3t823qs_jLzB0_gZ5fO0518REHCAk3dA4xQbXo3jYt2JQrekQV-19sHVfnqoRjSA.1CL7s9ezIsdHAx6Lqrc2jDGp4StWwFej2Ec7X6robpQ&dib_tag=se&keywords=0.1%2B%C2%B5F%2BCeramic%2BCapacitors&qid=1759950785&s=industrial&sprefix=0.1%2B%C2%B5f%2Bceramic%2Bcapacitors%2Cindustrial%2C85&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1
MCIGICM 12 AWG Inline Fuse Holder,Inline fuse holder,5,$7.59,1,https://www.amazon.com/MCIGICM-Inline-Fuse-Holder-Blade/dp/B081DHT8Y7/ref=sr_1_1_sspa?crid=4WOBQO3X3ABA&dib=eyJ2IjoiMSJ9.bDt9F83PMb0eaW6tLcBxeYDzjeKt9CnvcEwBzjQvSrG9nh0cFtEEbyaHZxtdLMUflMage3KBPxU0rzWWxhrzKOGA4o_5DhlxslRxmkAs2TO-YwJcpKxEcZb2qZT1oq8PeK2e0lWGj9Z5Bs7wftZ8GORy23guDQ4cxZUzqWACBzqFuUTeUZFO9qtDp6i2I6r7JoTjRaKcohTYaJobziXMRgNIgqt-AUEsmeUAoZ6S1GKPX6KUsKqZS9NYkNJ10J84DpZvJNgIX1qUqp6gL0lMwn7urLHQuZNOwHJnx7en4co.LCJU6MzCcZAd-3CJLt-Llj5sX-ixKj_jq3Jm6MBz3RQ&dib_tag=se&keywords=30+amp+inline+fuse&qid=1764352361&s=industrial&sprefix=30+amp+inline+fuse%2Cindustrial%2C67&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Rubber Feet Isolators,Silicon bumpers,16,$9.95,1,https://www.amazon.com/Sound-Addicted-Medium-Sized-Electronics-Hemisphere/dp/B0CB1BGFCQ/ref=sr_1_6?crid=9GITLTSBBGGN&dib=eyJ2IjoiMSJ9.rxKV-B3q4274hIAIpjBNraxVv1ormL3c2Af0hfN1Ln9gyLQKNt-FpSM-O6ytaMh1A-vMZptO_WagdNJ1Hc_svy6Ogz4DA853old1c006ujt3DoISL5sRUJ16-YH3e3Wtm9I3mGyFJm7SUYxrdgfltjrtr2qcwl5QRYmdLR0uKX-XvL5Oxq_C3LpeGNB-qGAwFTQZcWMm2RmkBSldTu9g2tEHVai8RoNANtsx_7TLuS6tHRDgGuY7RpVuJRBBJN3FSdbRPsCpoo-rnlOdBv0TUWUmO8BMGuymImvNYXuszxs.Xb-4keHHo3XtsXSwNpGT5S7vWPWTALZJEmbIk3t1k2k&dib_tag=se&keywords=silicone%2Bbumper%2Bpads%2Bhemisphere&qid=1762444269&sprefix=silicone%2Bbumper%2Bpads%2Bhemispherical%2Caps%2C178&sr=8-6&th=1
ELEGOO 120pcs Multicolored Dupont Wire,Wires for FSR and servo logic,120,$5.58,1,https://www.amazon.com/Elegoo-EL-CP-004-Multicolored-Breadboard-arduino/dp/B01EV70C78/ref=sr_1_1_sspa?crid=JN7KWSCGAPZP&dib=eyJ2IjoiMSJ9.I3nSspk5onl8Jong0G-0EaUV8k3yvkfNxu9EofYJ661tc8hPBdU_dpDeBedR2RClx5eBC6laGOf8MfqECqoWdrGdXKP2OGjrHRXwdoGDyQXhjmyytla-cWgS2HBf5sGUppMi37tJn-m6uoGLapI7Nq4jwJ8kdY29bxu2iWrZCBwBzOhKPYyW0pX3LaHHA-n9TQ2MexYcWZeigm6wzP48CSWQyNXAiU72PppdugObMyI.Oc1n37851C-Vj7zNc5PxTGLE1Wv6DwYTPDEhatyyi88&dib_tag=se&keywords=jumper+wires&qid=1764454349&sprefix=jumper+wire%2Caps%2C121&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
Raspberry Pi 5,Microcomputer,1,,,
,,,,,
,,,,,
,,,,,
,,,,,
